username,text,timestamp,cleaning_text,case_folding,hasil_normalisasi,provider,tokenize,stopward removal
biznethome,Jangan biarkan fokus kamu buyar karena koneksi yang gak stabil dan bikin mood kamu jadi ngga stabil ketika puasa ðŸ˜µâ€ðŸ’« Sudah waktunya kamu ganti koneksi kamu supaya hidup kamu lebih tenang dan lebih senang #PakeBiznet ðŸ˜‰ðŸ’™#Biznet #biznethome #ramadhan2026,3/18/26 11:41 PM,Jangan biarkan fokus kamu buyar karena koneksi yang gak stabil dan bikin mood kamu jadi ngga stabil ketika puasa keBiznet,jangan biarkan fokus kamu buyar karena koneksi yang gak stabil dan bikin mood kamu jadi ngga stabil ketika puasa kebiznet,jangan biarkan fokus kamu buyar karena koneksi yang tidak stabil dan bikin mood kamu jadi tidak stabil ketika puasa kebiznet,Biznet,"['jangan', 'biarkan', 'fokus', 'kamu', 'buyar', 'karena', 'koneksi', 'yang', 'tidak', 'stabil', 'dan', 'bikin', 'mood', 'kamu', 'jadi', 'tidak', 'stabil', 'ketika', 'puasa', 'kebiznet']",biarkan fokus buyar koneksi stabil bikin mood stabil puasa kebiznet
excmavuro,Biaya pasang berapa min di sidoarjo jatim,3/18/26 11:41 PM,Biaya pasang berapa min di sidoarjo jatim,biaya pasang berapa min di sidoarjo jatim,biaya pasang berapa min di sidoarjo jatim,Biznet,"['biaya', 'pasang', 'berapa', 'min', 'di', 'sidoarjo', 'jatim']",biaya pasang sidoarjo jatim
adhawidyann_,Cek dm min aku udh dm,3/18/26 11:41 PM,Cek dm min aku udh dm,cek dm min aku udh dm,cek dm min aku sudah dm,Biznet,"['cek', 'dm', 'min', 'aku', 'sudah', 'dm']",
nabilzarn,Ada WhatsApp gak ya saya mau daftar tanpa web bisa kan,3/18/26 11:41 PM,Ada WhatsApp gak ya saya mau daftar tanpa web bisa kan,ada whatsapp gak ya saya mau daftar tanpa web bisa kan,ada whatsapp tidak ya saya mau daftar tanpa web bisa kan,Biznet,"['ada', 'whatsapp', 'tidak', 'ya', 'saya', 'mau', 'daftar', 'tanpa', 'web', 'bisa', 'kan']",whatsapp daftar web
shellamareta90,Lapor kmn ya? Yg cpt tanggap responny,3/18/26 11:41 PM,Lapor kmn ya Yg cpt tanggap responny,lapor kmn ya yg cpt tanggap responny,lapor kemana ya yang cepat tanggap responny,Biznet,"['lapor', 'kemana', 'ya', 'yang', 'cepat', 'tanggap', 'responny']",lapor kemana cepat tanggap responny
kuahkuning_ikan,Min apakah suda bisa untuk indonesia timur wilaya papua,3/18/26 11:41 PM,Min apakah suda bisa untuk indonesia timur wilaya papua,min apakah suda bisa untuk indonesia timur wilaya papua,min apakah sudah bisa untuk indonesia timur wilaya papua,Biznet,"['min', 'apakah', 'sudah', 'bisa', 'untuk', 'indonesia', 'timur', 'wilaya', 'papua']",indonesia timur wilaya papua
faridvzh_,"ka saya ingin lihat coverage area di wilayah saya gimana ya, cuma ada dari AI tapi itu akurat/tidak ya?, dan ID billing itu didapat darimana ya terimakasih",3/18/26 11:41 PM,ka saya ingin lihat coverage area di wilayah saya gimana ya cuma ada dari AI tapi itu akurat tidak ya dan ID billing itu didapat darimana ya terimakasih,ka saya ingin lihat coverage area di wilayah saya gimana ya cuma ada dari ai tapi itu akurat tidak ya dan id billing itu didapat darimana ya terimakasih,kak saya ingin lihat coverage area di wilayah saya bagaimana ya cuma ada dari ai tapi itu akurat tidak ya dan id billing itu didapat darimana ya terimakasih,Biznet,"['kak', 'saya', 'ingin', 'lihat', 'coverage', 'area', 'di', 'wilayah', 'saya', 'bagaimana', 'ya', 'cuma', 'ada', 'dari', 'ai', 'tapi', 'itu', 'akurat', 'tidak', 'ya', 'dan', 'id', 'billing', 'itu', 'didapat', 'darimana', 'ya', 'terimakasih']",lihat coverage area wilayah ai akurat id billing darimana terimakasih
sontra_aw,Biznet saya bermasalah â€¦sdh email dan chat wa namun tidak ada response sampai saat ini â€¦mhn bantuannyaðŸ™,3/18/26 11:41 PM,Biznet saya bermasalah sdh email dan chat wa namun tidak ada response sampai saat ini mhn bantuannya,biznet saya bermasalah sdh email dan chat wa namun tidak ada response sampai saat ini mhn bantuannya,biznet saya bermasalah sudah email dan chat wa namun tidak ada response sampai saat ini mhn bantuannya,Biznet,"['biznet', 'saya', 'bermasalah', 'sudah', 'email', 'dan', 'chat', 'wa', 'namun', 'tidak', 'ada', 'response', 'sampai', 'saat', 'ini', 'mhn', 'bantuannya']",biznet bermasalah email chat wa response mhn bantuannya
shellamareta90,Min biznet wilyh mjk eror dr td pagi gk bs di akses,3/18/26 11:41 PM,Min biznet wilyh mjk eror dr td pagi gk bs di akses,min biznet wilyh mjk eror dr td pagi gk bs di akses,min biznet wilyh mjk eror dari tadi pagi tidak bisa di akses,Biznet,"['min', 'biznet', 'wilyh', 'mjk', 'eror', 'dari', 'tadi', 'pagi', 'tidak', 'bisa', 'di', 'akses']",biznet wilyh mjk eror pagi akses
fikriefadillah,"Biznet makin sini makin ga karuan jaringannya,, masa di cek speedtest kecepatan 12,11 mbps/37ms",3/18/26 11:41 PM,Biznet makin sini makin ga karuan jaringannya masa di cek speedtest kecepatan 12 11 mbps 37ms,biznet makin sini makin ga karuan jaringannya masa di cek speedtest kecepatan 12 11 mbps 37ms,biznet makin sini makin tidak karuan jaringannya masa di cek speedtest kecepatan 12 11 mbps 37ms,Biznet,"['biznet', 'makin', 'sini', 'makin', 'tidak', 'karuan', 'jaringannya', 'masa', 'di', 'cek', 'speedtest', 'kecepatan', '12', '11', 'mbps', '37ms']",biznet karuan jaringannya speedtest kecepatan 12 11 mbps 37ms
