id_kalimat,kalimat_asli,klausa,aspect,sentiment,provider,timestamp
0,wow keren aku pakai axiz sejak tahun 2013,wow keren aku pakai axiz sejak tahun 2013,Kemudahan Akses Layanan,Positif,Axis,2025-10-13 20:46
1,benerin sinyall min tidak ada sinyal banget ini kartu,benerin sinyall min tidak ada sinyal banget ini kartu,Stabilitas Jaringan,Negatif,Axis,2025-02-04 17:27
2,min paket owsem sudah berubah ya tidak kayak dulu,min paket owsem sudah berubah ya tidak kayak dulu,Harga,Negatif,Axis,2025-12-11 15:23
3,apa saya saja ya yang aplikasinya muter terus bahkan coba di lain perangkat juga tidak bisa masuk perpanjang masa aktif cuma bisa di aplikasi lagi lah aplikasinya trouble terus,apa saya saja ya yang aplikasinya muter terus,Kemudahan Akses Layanan,Negatif,Axis,2025-01-31 11:43
4,apa saya saja ya yang aplikasinya muter terus bahkan coba di lain perangkat juga tidak bisa masuk perpanjang masa aktif cuma bisa di aplikasi lagi lah aplikasinya trouble terus,bahkan coba di lain perangkat juga tidak bisa masuk perpanjang masa aktif cuma bisa di aplikasi lagi lah aplikasinya trouble terus,Kemudahan Akses Layanan,Negatif,Axis,2025-03-30 22:04
5,jangan suka aneh aneh min sinyal kamu benerin,jangan suka aneh aneh min sinyal kamu benerin,Stabilitas Jaringan,Negatif,Axis,2025-06-03 09:05
6,minn balikin paket owsem kami yang puluhan gb itu,minn balikin paket owsem kami yang puluhan gb itu,Harga,Negatif,Axis,2025-12-14 10:47
7,paket owsem kok hilang min,paket owsem kok hilang min,Harga,Negatif,Axis,2025-11-24 18:51
8,sinyal penuh tapi ngelag telaso,sinyal penuh,Stabilitas Jaringan,Positif,Axis,2025-03-05 08:37
9,sinyal penuh tapi ngelag telaso,tapi ngelag telaso,Kecepatan Internet,Negatif,Axis,2025-09-18 17:42
10,sinyal penuh tapi ngeleg ampun sudah gue mah,sinyal penuh,Stabilitas Jaringan,Positif,Axis,2025-11-04 20:22
11,sinyal penuh tapi ngeleg ampun sudah gue mah,sinyal penuh,Stabilitas Jaringan,Positif,Axis,2025-10-28 20:55
12,sinyal penuh tapi ngeleg ampun sudah gue mah,tapi ngeleg ampun sudah gue mah,Stabilitas Jaringan,Negatif,Axis,2025-07-30 08:18
13,jaringan hama jir kebanyakan konten jaringan kamu itu benerin,jaringan hama jir kebanyakan konten jaringan kamu itu benerin,Stabilitas Jaringan,Negatif,Axis,2025-07-20 16:22
14,nih axis kenapa sih beberapa hari ngelag mulu tidak ada kejelasan sudah dari 2019 pakai axis tidak pernah ngelag kayak begini,nih axis kenapa sih beberapa hari ngelag mulu tidak ada kejelasan sudah dari 2019 pakai axis tidak pernah ngelag kayak begini,Stabilitas Jaringan,Negatif,Axis,2025-07-04 23:13
15,hadeuhh paket owsem hilang bulan deepan ganti provider saja deh,hadeuhh paket owsem hilang bulan deepan ganti provider saja deh,Harga,Negatif,Axis,2025-06-05 22:14
16,axis game benerin dulu tidak bisa dibuat main game,axis game benerin dulu tidak bisa dibuat main game,Kecepatan Internet,Negatif,Axis,2025-12-28 10:22
17,tuker poin bonus tapi tidak pernah muncul tuh bonusnya,tuker poin bonus,Harga,Netral,Axis,2025-04-28 18:07
18,tuker poin bonus tapi tidak pernah muncul tuh bonusnya,tidak pernah muncul tuh bonusnya,Layanan Pelanggan,Negatif,Axis,2025-01-25 15:36
19,provider ini kayaknya banyak sosmed ya tapi tidak ada yang berguna tidak ada yang di dengar keluhan pengguna ya harusnya sebagai bentuk apresiasi kepada pengguna maka keluhan itu di jawab di bantu dan di perbaiki saat ini memutuskan buat ganti ke provider lain terimakasih axis semoga lebih baik lagi,provider ini kayaknya banyak sosmed ya,Layanan Pelanggan,Netral,Axis,2025-03-08 20:54
20,provider ini kayaknya banyak sosmed ya tapi tidak ada yang berguna tidak ada yang di dengar keluhan pengguna ya harusnya sebagai bentuk apresiasi kepada pengguna maka keluhan itu di jawab di bantu dan di perbaiki saat ini memutuskan buat ganti ke provider lain terimakasih axis semoga lebih baik lagi,tapi tidak ada yang berguna tidak ada yang di dengar keluhan pengguna ya harusnya sebagai bentuk apresiasi kepada pengguna maka keluhan itu di jawab di bantu,Layanan Pelanggan,Negatif,Axis,2025-01-18 07:38
21,provider ini kayaknya banyak sosmed ya tapi tidak ada yang berguna tidak ada yang di dengar keluhan pengguna ya harusnya sebagai bentuk apresiasi kepada pengguna maka keluhan itu di jawab di bantu dan di perbaiki saat ini memutuskan buat ganti ke provider lain terimakasih axis semoga lebih baik lagi,dan di perbaiki saat ini memutuskan buat ganti ke provider lain terimakasih axis semoga lebih baik lagi,Layanan Pelanggan,Netral,Axis,2025-05-30 15:01
22,beli paket suka dari kemarin kendala terus min kenapa,beli paket suka dari kemarin kendala terus min kenapa,Penanganan Gangguan,Negatif,Axis,2025-08-06 15:44
23,kalau ini algoritma ig versi axis kalian sudah coba fitur baru ig buat tau algoritma akun kalian belum guys,kalau ini algoritma ig versi axis kalian sudah coba fitur baru ig buat tau algoritma akun kalian belum guys,Kemudahan Akses Layanan,Netral,Axis,2025-02-25 16:58
24,kenapa susah sekali registrasi ya,kenapa susah sekali registrasi ya,Instalasi,Negatif,Axis,2025-02-11 18:00
25,ini kenapa min sinyal ada tapi tidak bisa internetan,ini kenapa min sinyal ada,Stabilitas Jaringan,Negatif,Axis,2025-01-06 11:36
26,ini kenapa min sinyal ada tapi tidak bisa internetan,tapi idak bisa internetan,Stabilitas Jaringan,Negatif,Axis,2025-11-22 19:04
27,kenapa ini sinyal ya hilang ilangan padahal awal beli lancar aduh manis di awal doang,kenapa ini sinyal ya hilang ilangan,Stabilitas Jaringan,Negatif,Axis,2025-12-05 07:05
28,kenapa ini sinyal ya hilang ilangan padahal awal beli lancar aduh manis di awal doang,padahal awal beli lancar aduh manis di awal doang,Stabilitas Jaringan,Positif,Axis,2025-02-24 23:13
29,aktifin warnet 6jam kok pulsa kepotong dua kali lipat,aktifin warnet 6jam kok pulsa kepotong dua kali lipat,Harga,Negatif,Axis,2025-08-13 20:29
30,kak mohon dibantu no tidak bisa kirim sms,kak mohon dibantu no tidak bisa kirim sms,Layanan Pelanggan,Negatif,Axis,2025-11-11 12:23
31,plis kuotaku hilang 17 gb,plis kuotaku hilang 17 gb,Harga,Negatif,Axis,2025-01-10 17:49
32,axis tolong dong ini masalah sinyal perbaiki lagi saya pengguna 7thn,axis tolong dong ini masalah sinyal perbaiki lagi saya pengguna 7thn,Stabilitas Jaringan,Negatif,Axis,2025-03-31 09:56
33,setiap hujan jaringan hilang total,setiap hujan jaringan hilang total,Stabilitas Jaringan,Negatif,Axis,2025-03-02 11:10
34,report rame rame tidak sih,report rame rame tidak sih,Layanan Pelanggan,Negatif,Axis,2025-01-25 08:43
35,kok akhir akhir inj sering lag buat game sinyal ya merah teruspas main padahal punya kuota,kok akhir akhir inj sering lag buat game sinyal ya merah teruspas main padahal punya kuota,Kecepatan Internet,Negatif,Axis,2025-05-03 15:28
36,kok akhir akhir inj sering lag buat game sinyal ya merah teruspas main padahal punya kuota,padahal punya kuota,Harga,Negatif,Axis,2025-01-22 20:31
37,woi sinyal ya benerin lah dikota medan bagian pinggir kok tidak ada sinyal begini,woi sinyal ya benerin lah dikota medan bagian pinggir kok tidak ada sinyal begini,Stabilitas Jaringan,Negatif,Axis,2025-01-20 21:26
38,ada sinyal ada kuota banyak tapi tidak terhubung,ada sinyal ada kuota banyak,Harga,Positif,Axis,2025-04-09 13:48
39,ada sinyal ada kuota banyak tapi tidak terhubung,tapi tidak terhubung,Stabilitas Jaringan,Negatif,Axis,2025-12-17 10:22
40,sinyal axis hilang sudah 1 minggu padahal sudah saya beli masa aktif untuk 3 bulan,sinyal axis hilang sudah 1 minggu,Stabilitas Jaringan,Negatif,Axis,2025-01-14 10:18
41,sinyal axis hilang sudah 1 minggu padahal sudah saya beli masa aktif untuk 3 bulan,padahal sudah saya beli masa aktif untuk 3 bulan,Harga,Negatif,Axis,2025-05-22 22:33
42,woi ilang2 mulu sinyal dari semalam belum ada,woi ilang2 mulu sinyal dari semalam belum ada,Stabilitas Jaringan,Negatif,Axis,2025-12-22 16:02
43,sinyal di perbaiki dulu orang kerja jadi keganggu,sinyal di perbaiki dulu orang kerja,Stabilitas Jaringan,Negatif,Axis,2025-06-08 19:38
44,sinyal di perbaiki dulu orang kerja jadi keganggu,jadi keganggu,Penanganan Gangguan,Negatif,Axis,2025-08-02 07:13
45,benaran tidak di dengering omongan penggunaannya,benaran tidak di dengering omongan penggunaannya,Layanan Pelanggan,Negatif,Axis,2025-04-10 13:49
46,masih ada saja yang pakai axis,masih ada saja yang pakai axis,Kemudahan Akses Layanan,Netral,Axis,2025-09-05 15:18
47,akhir akhir ini sinyal drop dari hari sabtu benar benar down padahal daerah jakarta,akhir akhir ini sinyal drop dari hari sabtu benar benar down,Stabilitas Jaringan,Negatif,Axis,2025-05-11 10:00
48,akhir akhir ini sinyal drop dari hari sabtu benar benar down padahal daerah jakarta,padahal daerah jakarta,Instalasi,Netral,Axis,2025-01-16 20:11
49,tidak amanah sekarang 28hr sebulan,tidak amanah sekarang 28hr sebulan,Keamanan Layanan,Negatif,Axis,2025-07-05 19:34
50,akhir akhir ini jaringan axis kacau tidak bisa di andelin,akhir akhir ini jaringan axis kacau tidak bisa di andelin,Stabilitas Jaringan,Negatif,Axis,2025-11-23 14:32
51,jaringan benerin woi anjing masa cuma dapat 2 batang dari kemarin,jaringan benerin woi anjing masa cuma dapat 2 batang dari kemarin,Stabilitas Jaringan,Negatif,Axis,2025-01-18 18:04
52,woi admin axis kamu turun tangan dong kocak,woi admin axis kamu turun tangan dong kocak,Layanan Pelanggan,Negatif,Axis,2025-01-13 08:27
53,akhir akhir ini jaringan axis idiot,akhir akhir ini jaringan axis idiot,Stabilitas Jaringan,Negatif,Axis,2025-02-01 21:58
54,sinyal axis yang bikin frustasi kmpang,sinyal axis yang bikin frustasi kmpang,Stabilitas Jaringan,Negatif,Axis,2025-09-03 17:36
55,ahir ahir ini sinyal butut ajg,ahir ahir ini sinyal butut ajg,Stabilitas Jaringan,Negatif,Axis,2025-04-14 19:45
56,pesan penting buat axis kalau pengin banyak peminat minimal jaringan bagusin wkwkw,pesan penting buat axis kalau pengin banyak peminat minimal jaringan bagusin wkwkw,Stabilitas Jaringan,Negatif,Axis,2025-12-21 20:18
57,min kenapa susah banget daftar kartunya kartunya tidak ada paket tapi malah disuruh beli paket diisi paket pun tidak bisa karena belum aktif dichat tidak direspon,min kenapa susah banget daftar kartunya kartunya tidak ada paket,Layanan Pelanggan,Negatif,Axis,2025-05-04 19:01
